gene,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,
Smp-032950,Smp_032950,7.40E-57,0.673465786,0.991,0.871,7.51E-53,HES2+,Calcium-binding protein
Smp-122840,Smp_122840,1.24E-51,0.522243243,0.997,0.975,1.26E-47,HES2+,Eukaryotic translation initiation factor 5
Smp-049580,Smp_049580,7.67E-48,0.579994895,0.87,0.71,7.78E-44,HES2+,Hypothetical protein
Smp-340050,Smp_340050,5.21E-46,0.876093357,0.896,0.71,5.30E-42,HES2+,Protein lunapark
Smp-002410,Smp_002410,9.01E-45,0.552067109,0.997,0.959,9.15E-41,HES2+,14-3-3 epsilon 2
Smp-159730,Smp_159730,1.84E-43,0.671952787,0.993,0.947,1.87E-39,HES2+,Serine/threonine-protein kinase PAK 3
Smp-347830,Smp_347830,3.51E-40,0.623085776,0.972,0.887,3.57E-36,HES2+,Lamin Dm0
Smp-245800,Smp_245800,7.78E-37,0.50062791,0.979,0.777,7.90E-33,HES2+,Daple-like protein
Smp-131890,Smp_131890,4.34E-36,0.663028191,0.88,0.726,4.40E-32,HES2+,Sodium- and chloride-dependent glycine transporter 2
Smp-000850,Smp_000850,1.65E-35,0.652240153,0.903,0.735,1.67E-31,HES2+,DnaJ homolog subfamily C member 5
Smp-042090,Smp_042090,3.55E-35,0.503330101,1,0.97,3.60E-31,HES2+,60S ribosomal protein L10a
Smp-172090,Smp_172090,3.22E-32,0.555720465,0.976,0.652,3.27E-28,HES2+,GPN-loop GTPase 3
Smp-180890,Smp_180890,3.51E-32,0.518565884,0.864,0.684,3.57E-28,HES2+,Rho GTPase-activating protein gacH
Smp-150750,Smp_150750,7.48E-32,0.775070244,0.967,0.871,7.60E-28,HES2+,Centriolin
Smp-034500,Smp_034500,4.99E-31,0.701323547,0.809,0.564,5.07E-27,HES2+,Dual specificity protein phosphatase 10
Smp-067010,Smp_067010,2.53E-30,0.523675003,0.899,0.67,2.57E-26,HES2+,RUN domain-containing protein 1
Smp-014670,Smp_014670,6.77E-30,0.66531296,0.991,0.822,6.87E-26,HES2+,Alpha-adducin
Smp-122800,Smp_122800,1.49E-29,0.638393186,0.977,0.828,1.51E-25,HES2+,La-related protein 1
Smp-008660,Smp_008660,2.08E-29,0.626964163,0.986,0.9,2.12E-25,HES2+,Severin
Smp-066760,Smp_066760,4.10E-29,0.601222536,0.979,0.808,4.16E-25,HES2+,Moesin/ezrin/radixin homolog 1
Smp-078780,Smp_078780,5.73E-29,0.676484767,0.965,0.719,5.82E-25,HES2+,Dihydropyrimidinase-related protein 3
Smp-015690,Smp_015690,7.62E-29,0.573273277,0.99,0.902,7.74E-25,HES2+,Hypothetical protein
Smp-138480,Smp_138480,1.68E-28,0.671260545,0.969,0.744,1.71E-24,HES2+,Nuclear envelope integral membrane protein 1
Smp-174490,Smp_174490,4.49E-28,0.664172342,0.955,0.799,4.56E-24,HES2+,Hypothetical protein
Smp-205660,Smp_205660,3.45E-26,0.606421872,0.972,0.743,3.51E-22,HES2+,Carbamoyl-phosphate synthase small chain
Smp-138470,Smp_138470,9.43E-26,0.643303775,0.866,0.649,9.58E-22,HES2+,Guanylate kinase
Smp-088420,Smp_088420,1.94E-25,0.552058409,0.917,0.839,1.97E-21,HES2+,Cytosolic carboxypeptidase 1
Smp-098300,Smp_098300,4.88E-24,0.609262991,0.81,0.706,4.96E-20,HES2+,Hypothetical protein
Smp-048660,Smp_048660,9.87E-24,0.611428061,0.936,0.791,1.00E-19,HES2+,Nucleolar protein 56
Smp-337610,Smp_337610,7.26E-23,0.56674681,0.868,0.708,7.37E-19,HES2+,DNA repair protein RecO
Smp-039490,Smp_039490,1.20E-22,0.519978811,0.991,0.92,1.21E-18,HES2+,Apoptotic chromatin condensation inducer in the nucleus
Smp-098330,Smp_098330,1.23E-22,0.555980148,0.998,0.865,1.25E-18,HES2+,H/ACA ribonucleoprotein complex subunit 2
Smp-140800,Smp_140800,1.24E-22,0.514679317,0.878,0.776,1.26E-18,HES2+,Neurogenic locus notch homolog protein 1
Smp-017860,Smp_017860,7.54E-21,0.720620287,0.77,0.604,7.65E-17,HES2+,Metallophosphoesterase 1 homolog
Smp-332360,Smp_332360,1.51E-20,0.51369989,0.915,0.865,1.54E-16,HES2+,Hypothetical protein
Smp-013070,Smp_013070,3.83E-19,0.575508261,0.951,0.804,3.89E-15,HES2+,Hepatocyte nuclear factor 6
Smp-246500,Smp_246500,7.72E-19,0.677185284,0.762,0.591,7.84E-15,HES2+,Hypothetical protein
Smp-065580,Smp_065580,9.03E-19,0.501295182,0.958,0.854,9.17E-15,HES2+,Heterogeneous nuclear ribonucleoprotein K
Smp-168800,Smp_168800,4.03E-18,0.60995834,0.981,0.826,4.10E-14,HES2+,Ubiquitin carboxyl-terminal hydrolase isozyme L3
Smp-019490,Smp_019490,5.34E-18,0.618555707,0.927,0.788,5.42E-14,HES2+,Protein RER1
Smp-193440,Smp_193440,7.63E-18,0.577397156,0.87,0.703,7.75E-14,HES2+,Cell division cycle and apoptosis regulator protein 1
Smp-013790,Smp_013790,1.22E-15,0.51956114,0.937,0.819,1.24E-11,HES2+,Probable ATP-dependent RNA helicase DDX5
Smp-337600,Smp_337600,1.56E-15,0.509360933,0.92,0.786,1.58E-11,HES2+,#N/A
Smp-158440,Smp_158440,3.35E-15,0.557053703,0.812,0.71,3.40E-11,HES2+,Hypothetical protein
Smp-147470,Smp_147470,5.21E-15,0.55742812,0.798,0.752,5.30E-11,HES2+,SLIT and NTRK-like protein 2
Smp-028490,Smp_028490,6.11E-15,0.547479792,0.722,0.526,6.21E-11,HES2+,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
Smp-137600,Smp_137600,1.02E-14,0.531408346,0.96,0.82,1.04E-10,HES2+,Sarcolemmal membrane-associated protein
Smp-302290,Smp_302290,2.25E-13,0.506406853,0.765,0.674,2.28E-09,HES2+,Major egg antigen
Smp-181460,Smp_181460,2.10E-11,0.518629908,0.887,0.776,2.14E-07,HES2+,Ubiquitin carboxyl-terminal hydrolase MINDY-3
Smp-309430,Smp_309430,6.03E-11,0.500957739,0.974,0.898,6.12E-07,HES2+,Structural maintenance of chromosomes protein 3
Smp-072180,Smp_072180,1.56E-09,0.500789968,0.889,0.817,1.58E-05,HES2+,Apoptosis regulator R11
Smp-149700,Smp_149700,2.16E-09,0.592805113,0.737,0.735,2.19E-05,HES2+,Heterogeneous nuclear ribonucleoprotein L
Smp-200800,Smp_200800,6.11E-165,5.346972096,1,0.673,6.20E-161,Neuron_8,"Alpha-(1,3)-fucosyltransferase fut-1"
Smp-170740,Smp_170740,9.28E-165,4.650073938,1,0.685,9.42E-161,Neuron_8,25S rRNA (adenine(2142)-N(1))-methyltransferase
Smp-095630,Smp_095630,2.43E-161,2.157133324,1,0.844,2.47E-157,Neuron_8,CD81 antigen
Smp-333600,Smp_333600,1.04E-160,2.961023251,1,0.732,1.05E-156,Neuron_8,P2X purinoceptor 4
Smp-059200,Smp_059200,1.74E-160,2.570352308,0.994,0.695,1.76E-156,Neuron_8,Kelch-like protein 29
Smp-203190,Smp_203190,9.36E-160,3.126735679,1,0.875,9.51E-156,Neuron_8,Chorion peroxidase
Smp-087690,Smp_087690,8.46E-154,1.804418257,0.98,0.76,8.59E-150,Neuron_8,Metalloproteinase inhibitor 1
Smp-004710,Smp_004710,7.30E-152,2.580112007,1,0.818,7.42E-148,Neuron_8,Mu-conotoxin-like PnMKLT1-014
Smp-201600,Smp_201600,1.13E-147,1.785332979,1,0.999,1.15E-143,Neuron_8,Putative beta-lactamase HcpD
Smp-344010,Smp_344010,2.83E-146,1.99880704,0.989,0.788,2.88E-142,Neuron_8,Protocadherin Fat 4
Smp-125490,Smp_125490,7.67E-146,2.050276716,0.998,0.704,7.79E-142,Neuron_8,peptidase family M13 containing protein
Smp-093210,Smp_093210,3.18E-145,2.174415388,0.994,0.704,3.23E-141,Neuron_8,FMRFamide-activated amiloride-sensitive sodium channel
Smp-146280,Smp_146280,8.91E-145,2.181715088,0.978,0.664,9.04E-141,Neuron_8,Calbindin-32
Smp-142560,Smp_142560,1.46E-138,1.357472,0.942,0.578,1.48E-134,Neuron_8,Insulin gene enhancer protein ISL-2 (Fragment)
Smp-045560,Smp_045560,2.55E-136,1.787423559,0.993,0.847,2.59E-132,Neuron_8,Annexin A8
Smp-340530,Smp_340530,4.63E-136,1.883010794,0.987,0.802,4.70E-132,Neuron_8,Transmembrane protein 26
Smp-143270,Smp_143270,3.15E-135,1.40800288,0.994,0.721,3.20E-131,Neuron_8,Cytochrome c oxidase subunit 2
Smp-121660,Smp_121660,7.30E-135,1.742218127,0.991,0.619,7.41E-131,Neuron_8,IDLSRF-like peptide
Smp-151600,Smp_151600,5.52E-134,1.851108794,0.968,0.779,5.60E-130,Neuron_8,neuronal calcium sensor 2
Smp-070020,Smp_070020,7.25E-132,1.766061987,0.983,0.748,7.37E-128,Neuron_8,Hypothetical protein
Smp-146470,Smp_146470,2.25E-131,1.31596962,0.924,0.605,2.28E-127,Neuron_8,P2Y purinoceptor 2
Smp-200450,Smp_200450,9.19E-131,1.154818586,0.929,0.667,9.33E-127,Neuron_8,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1"
Smp-132270,Smp_132270,3.19E-130,1.385605118,0.965,0.841,3.24E-126,Neuron_8,Hypothetical protein
Smp-156150,Smp_156150,2.15E-129,1.787763598,0.987,0.802,2.19E-125,Neuron_8,Small conductance calcium-activated potassium channel protein
Smp-163090,Smp_163090,8.33E-127,1.523501938,0.961,0.552,8.46E-123,Neuron_8,Potassium voltage-gated channel protein Shaw
Smp-020130,Smp_020130,1.80E-126,1.29644503,0.957,0.717,1.83E-122,Neuron_8,Hypothetical protein
Smp-159560,Smp_159560,1.32E-125,1.651298224,0.952,0.625,1.34E-121,Neuron_8,Transcription factor GATA-3
Smp-342900,Smp_342900,1.42E-125,1.59737812,0.929,0.555,1.44E-121,Neuron_8,Helicase SWR1
Smp-163160,Smp_163160,2.16E-124,1.511574219,0.972,0.838,2.19E-120,Neuron_8,Short transient receptor potential channel 7
Smp-194780,Smp_194780,1.04E-123,1.38272806,0.942,0.524,1.05E-119,Neuron_8,Hemicentin-2
Smp-126540,Smp_126540,1.41E-123,1.457848133,0.985,0.82,1.43E-119,Neuron_8,Vegetative incompatibility protein HET-E-1
Smp-181150,Smp_181150,2.17E-123,1.492035188,0.987,0.812,2.20E-119,Neuron_8,ATP-binding cassette sub-family G member 1
Smp-142050,Smp_142050,3.08E-122,1.492463809,0.968,0.696,3.13E-118,Neuron_8,Mitogen-activated protein kinase 3
Smp-152380,Smp_152380,5.70E-122,1.289977458,0.955,0.736,5.79E-118,Neuron_8,Putative rhophilin-2-like protein RHPN2P1
Smp-194740,Smp_194740,1.51E-119,1.049443911,0.937,0.682,1.53E-115,Neuron_8,Sex peptide receptor
Smp-340440,Smp_340440,1.33E-118,1.351256963,0.991,0.735,1.35E-114,Neuron_8,Uracil phosphoribosyltransferase
Smp-145230,Smp_145230,1.80E-118,1.365526055,0.918,0.581,1.82E-114,Neuron_8,T-box transcription factor TBX3 (Fragment)
Smp-132610,Smp_132610,2.29E-118,1.350307902,0.95,0.735,2.33E-114,Neuron_8,Hypothetical protein
Smp-202260,Smp_202260,6.08E-117,1.094439998,0.996,0.836,6.18E-113,Neuron_8,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
Smp-171020,Smp_171020,4.06E-115,1.475315134,0.985,0.867,4.13E-111,Neuron_8,Calsyntenin-2
Smp-162760,Smp_162760,1.13E-114,1.310409416,0.929,0.704,1.15E-110,Neuron_8,Homeobox protein prospero
Smp-125510,Smp_125510,4.40E-114,1.450260858,0.989,0.734,4.47E-110,Neuron_8,Cadherin EGF LAG seven-pass G-type receptor 3
Smp-245350,Smp_245350,1.26E-113,1.139002443,0.901,0.539,1.27E-109,Neuron_8,GTP-binding protein GEM
Smp-122950,Smp_122950,2.35E-110,0.892846379,0.94,0.782,2.39E-106,Neuron_8,Hypothetical protein
Smp-332280,Smp_332280,2.81E-110,0.979484861,0.922,0.733,2.86E-106,Neuron_8,Irregular chiasm C-roughest protein
Smp-144110,Smp_144110,3.21E-110,1.127627403,0.931,0.815,3.26E-106,Neuron_8,FMRFamide-activated amiloride-sensitive sodium channel
Smp-313210,Smp_313210,3.60E-109,1.212905925,0.959,0.77,3.66E-105,Neuron_8,Potassium voltage-gated channel subfamily A member 2
Smp-246970,Smp_246970,2.14E-108,1.330660439,0.946,0.765,2.17E-104,Neuron_8,Pleckstrin homology domain-containing family G member 7
Smp-317800,Smp_317800,4.02E-107,1.04424425,0.886,0.739,4.09E-103,Neuron_8,Insulin
Smp-145540,Smp_145540,6.61E-107,1.333705007,0.955,0.769,6.71E-103,Neuron_8,Probable muscarinic acetylcholine receptor gar-2
Smp-102160,Smp_102160,7.85E-107,1.115781703,0.983,0.835,7.97E-103,Neuron_8,synaptobrevin-like protein
Smp-346620,Smp_346620,9.98E-106,1.189115148,0.857,0.305,1.01E-101,Neuron_8,Transcription factor Sox-21
Smp-129060,Smp_129060,1.84E-105,1.391244289,0.974,0.663,1.87E-101,Neuron_8,Vesicular glutamate transporter 2
Smp-045990,Smp_045990,2.29E-105,1.364950922,0.991,0.748,2.33E-101,Neuron_8,GTP-binding protein Di-Ras2
Smp-162520,Smp_162520,2.56E-105,1.273036804,0.963,0.751,2.60E-101,Neuron_8,Protocadherin Fat 4
Smp-092020,Smp_092020,7.06E-105,1.232838026,0.991,0.878,7.17E-101,Neuron_8,Hypothetical protein
Smp-015710,Smp_015710,7.95E-103,1.420338226,0.961,0.812,8.07E-99,Neuron_8,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1"
Smp-133260,Smp_133260,8.37E-103,0.802262225,0.914,0.687,8.50E-99,Neuron_8,ATP-dependent DNA helicase mph1
Smp-024370,Smp_024370,4.92E-102,1.107178701,0.97,0.769,5.00E-98,Neuron_8,Protein fantom
Smp-311490,Smp_311490,1.01E-101,1.364041985,0.862,0.286,1.02E-97,Neuron_8,P2X purinoceptor 4
Smp-172470,Smp_172470,1.20E-101,0.819647638,0.872,0.667,1.22E-97,Neuron_8,Netrin receptor UNC5C
Smp-158170,Smp_158170,8.15E-101,1.092952949,0.944,0.666,8.27E-97,Neuron_8,Hypothetical protein
Smp-341620,Smp_341620,1.23E-100,0.947442131,0.963,0.875,1.25E-96,Neuron_8,FERM domain-containing protein 5
Smp-310430,Smp_310430,2.09E-100,0.831934867,0.894,0.679,2.13E-96,Neuron_8,Protocadherin-1
Smp-345990,Smp_345990,2.78E-100,0.649108858,0.924,0.803,2.82E-96,Neuron_8,Hypothetical protein
Smp-012920,Smp_012920,4.44E-100,0.801413039,0.886,0.678,4.50E-96,Neuron_8,Neuropeptide receptor 18
Smp-132410,Smp_132410,4.44E-100,1.236981106,0.918,0.74,4.51E-96,Neuron_8,neuropeptide receptor
Smp-149770,Smp_149770,8.56E-99,1.093414182,0.942,0.746,8.70E-95,Neuron_8,5-hydroxytryptamine receptor
Smp-129830,Smp_129830,2.48E-97,0.895877478,0.927,0.735,2.52E-93,Neuron_8,Protocadherin alpha-10
Smp-344720,Smp_344720,2.92E-97,0.984356325,0.899,0.685,2.97E-93,Neuron_8,Tubulin polyglutamylase TTLL7
Smp-145300,Smp_145300,2.98E-97,1.054681878,0.989,0.756,3.03E-93,Neuron_8,peptidylglycine alpha hydroxylating mono-oxygenase
Smp-131630,Smp_131630,2.68E-96,0.585768058,0.872,0.617,2.72E-92,Neuron_8,"ankyrin repeat-containing protein kinase, putative"
Smp-316080,Smp_316080,2.84E-96,0.797598363,0.912,0.562,2.88E-92,Neuron_8,Potassium voltage-gated channel subfamily B member 1
Smp-162230,Smp_162230,2.46E-95,1.237796939,0.965,0.792,2.50E-91,Neuron_8,Microtubule-associated protein tau
Smp-152830,Smp_152830,1.02E-94,0.952372545,0.927,0.79,1.03E-90,Neuron_8,Sodium/calcium exchanger 1
Smp-006810,Smp_006810,1.32E-94,1.167553303,0.972,0.713,1.34E-90,Neuron_8,LIM domain transcription factor LMO4-B
Smp-153580,Smp_153580,8.10E-94,0.593536492,0.959,0.776,8.23E-90,Neuron_8,Neuropeptide F
Smp-334220,Smp_334220,2.59E-93,0.660289974,0.885,0.608,2.63E-89,Neuron_8,Protocadherin-3
Smp-321250,Smp_321250,3.27E-93,1.14053659,0.983,0.818,3.32E-89,Neuron_8,Protein broad-minded
Smp-212750,Smp_212750,3.95E-92,0.65756341,0.864,0.704,4.01E-88,Neuron_8,Hypothetical protein
Smp-105220,Smp_105220,9.56E-92,1.067159911,0.996,0.892,9.70E-88,Neuron_8,Lymphocyte antigen 6D
Smp-245090,Smp_245090,1.37E-91,0.933914079,0.924,0.791,1.39E-87,Neuron_8,SH3 and multiple ankyrin repeat domains protein 3
Smp-083980,Smp_083980,4.05E-91,0.626771667,0.879,0.763,4.12E-87,Neuron_8,FMRFamide-activated amiloride-sensitive sodium channel
Smp-073280,Smp_073280,5.66E-91,1.094921179,0.966,0.789,5.75E-87,Neuron_8,Hypothetical protein
Smp-303940,Smp_303940,6.66E-91,0.867855024,0.911,0.661,6.76E-87,Neuron_8,"Dynein heavy chain 3, axonemal"
Smp-068510,Smp_068510,4.29E-90,0.880321959,1,0.941,4.36E-86,Neuron_8,Neuronal calcium sensor 2
Smp-077980,Smp_077980,3.08E-89,1.114406491,0.978,0.788,3.13E-85,Neuron_8,Neuroendocrine convertase 2
Smp-315830,Smp_315830,5.94E-89,0.645940923,0.892,0.686,6.03E-85,Neuron_8,Muscarinic acetylcholine receptor M5
Smp-334980,Smp_334980,6.51E-89,0.526712791,0.84,0.686,6.61E-85,Neuron_8,Rap guanine nucleotide exchange factor 4
Smp-068500,Smp_068500,1.11E-87,0.924618681,1,0.826,1.13E-83,Neuron_8,Hypothetical protein
Smp-181250,Smp_181250,1.42E-87,0.610187179,0.868,0.759,1.45E-83,Neuron_8,Hemicentin-1
Smp-031190,Smp_031190,2.31E-86,0.519299769,0.81,0.476,2.35E-82,Neuron_8,phospholipase A
Smp-026560,Smp_026560,3.64E-86,0.673128636,1,0.993,3.70E-82,Neuron_8,calmodulin
Smp-141520,Smp_141520,1.15E-85,0.622740231,0.894,0.743,1.17E-81,Neuron_8,E3 ubiquitin-protein ligase PDZRN3
Smp-246650,Smp_246650,2.79E-84,0.50373244,0.929,0.767,2.83E-80,Neuron_8,Dystroglycan
Smp-245510,Smp_245510,6.13E-84,1.042751514,0.926,0.75,6.23E-80,Neuron_8,Vesicular glutamate transporter 2
Smp-205760,Smp_205760,2.57E-83,0.862300458,0.994,0.928,2.61E-79,Neuron_8,Guanine nucleotide-binding protein subunit gamma
Smp-059670,Smp_059670,8.03E-83,1.043880411,0.991,0.816,8.16E-79,Neuron_8,Synaptogyrin-2
Smp-073270,Smp_073270,1.45E-82,0.983537025,1,0.825,1.47E-78,Neuron_8,Neuroendocrine protein 7B2
Smp-136400,Smp_136400,2.15E-82,0.933758035,0.961,0.761,2.18E-78,Neuron_8,Cytochrome b561
Smp-203500,Smp_203500,5.30E-82,0.791599427,0.823,0.41,5.39E-78,Neuron_8,Allatostatin-A receptor
Smp-342760,Smp_342760,1.09E-81,0.680116732,0.883,0.771,1.11E-77,Neuron_8,Ephrin-4
Smp-140590,Smp_140590,2.22E-81,0.760250746,0.896,0.782,2.26E-77,Neuron_8,Galectin-9C
Smp-163810,Smp_163810,8.10E-81,0.795693527,0.896,0.794,8.22E-77,Neuron_8,Laminin-like protein lam-2
Smp-153200,Smp_153200,1.61E-80,1.226041436,0.855,0.611,1.63E-76,Neuron_8,FMRFamide receptor
Smp-202690,Smp_202690,1.94E-80,0.924038662,0.946,0.784,1.97E-76,Neuron_8,Universal stress protein Slr1101
Smp-127770,Smp_127770,1.04E-79,0.926065787,0.939,0.797,1.06E-75,Neuron_8,Ras-specific guanine nucleotide-releasing factor 2
Smp-129240,Smp_129240,2.90E-79,0.903647587,0.965,0.742,2.94E-75,Neuron_8,Uncharacterized protein KIAA0513
Smp-142740,Smp_142740,6.14E-79,0.909416156,0.966,0.798,6.24E-75,Neuron_8,Rho GTPase-activating protein 100F
Smp-315810,Smp_315810,6.26E-79,0.860429699,0.961,0.917,6.36E-75,Neuron_8,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5"
Smp-121580,Smp_121580,3.19E-78,0.928972463,0.955,0.798,3.24E-74,Neuron_8,Piwi-like protein 2
Smp-129900,Smp_129900,9.88E-78,0.731433762,0.914,0.766,1.00E-73,Neuron_8,Uncharacterized sodium-dependent transporter MJ1319
Smp-334600,Smp_334600,1.43E-77,0.516735559,0.892,0.811,1.45E-73,Neuron_8,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C (Fragment)"
Smp-050220,Smp_050220,2.19E-77,0.802103511,0.998,0.894,2.23E-73,Neuron_8,Putative complexin-1
Smp-132540,Smp_132540,2.72E-77,0.540064744,0.834,0.733,2.77E-73,Neuron_8,Slit homolog 1 protein
Smp-333390,Smp_333390,4.13E-77,1.062454174,0.926,0.732,4.19E-73,Neuron_8,Potassium voltage-gated channel protein eag
Smp-342190,Smp_342190,3.33E-76,0.899399081,0.996,0.845,3.38E-72,Neuron_8,Transient receptor potential cation channel subfamily A member 1
Smp-140250,Smp_140250,3.70E-76,0.710479286,0.847,0.592,3.76E-72,Neuron_8,G protein coupled receptor fragment
Smp-162440,Smp_162440,2.49E-75,0.78064989,0.873,0.674,2.52E-71,Neuron_8,Mechanosensory protein 2
Smp-315790,Smp_315790,2.90E-75,0.981933728,0.939,0.775,2.94E-71,Neuron_8,5'-AMP-activated protein kinase subunit gamma-2
Smp-344580,Smp_344580,3.08E-75,0.745170817,0.989,0.921,3.13E-71,Neuron_8,Lethal(2) giant larvae protein homolog 1
Smp-247620,Smp_247620,4.67E-75,0.672137773,0.912,0.729,4.75E-71,Neuron_8,Nucleolysin TIA-1 isoform p40
Smp-146750,Smp_146750,5.45E-75,0.662733122,0.855,0.681,5.53E-71,Neuron_8,Sodium/hydrogen exchanger 2
Smp-156890,Smp_156890,6.04E-75,0.511397399,0.829,0.68,6.13E-71,Neuron_8,SCY1-like protein 2
Smp-346500,Smp_346500,8.22E-75,0.631989768,0.931,0.823,8.35E-71,Neuron_8,Transmembrane protein 132E
Smp-166300,Smp_166300,1.21E-74,0.859807667,0.898,0.738,1.23E-70,Neuron_8,Probable receptor-like protein kinase At1g30570
Smp-158180,Smp_158180,2.17E-74,0.819823011,0.79,0.391,2.21E-70,Neuron_8,Coiled-coil domain-containing protein 13
Smp-027430,Smp_027430,2.57E-74,1.01317786,0.857,0.646,2.61E-70,Neuron_8,"Calcium uptake protein 2, mitochondrial"
Smp-201030,Smp_201030,2.63E-74,0.837359444,0.965,0.906,2.67E-70,Neuron_8,"Dynein light chain 2, cytoplasmic"
Smp-343990,Smp_343990,3.34E-73,0.901906228,0.89,0.696,3.39E-69,Neuron_8,Hypothetical protein
Smp-034120,Smp_034120,5.01E-73,0.838369187,0.993,0.827,5.09E-69,Neuron_8,Synaptosomal-associated protein 25
Smp-323920,Smp_323920,5.03E-73,0.635084166,0.885,0.756,5.11E-69,Neuron_8,Hypothetical protein
Smp-000180,Smp_000180,1.45E-72,0.87373058,0.849,0.62,1.47E-68,Neuron_8,Kv channel-interacting protein 1
Smp-139100,Smp_139100,3.01E-71,0.871411518,0.966,0.881,3.05E-67,Neuron_8,Protein F37C4.5
Smp-242200,Smp_242200,4.03E-71,0.925627102,0.853,0.714,4.10E-67,Neuron_8,Cationic amino acid transporter 1
Smp-246790,Smp_246790,6.48E-71,0.759472735,0.931,0.737,6.58E-67,Neuron_8,Transient receptor potential cation channel subfamily M member 2
Smp-049270,Smp_049270,6.57E-71,0.965823084,0.929,0.85,6.67E-67,Neuron_8,Major egg antigen
Smp-321920,Smp_321920,7.66E-71,0.704770588,0.896,0.72,7.78E-67,Neuron_8,Hypothetical protein
Smp-210820,Smp_210820,1.30E-69,0.691873687,0.926,0.868,1.32E-65,Neuron_8,Beta-adrenergic receptor kinase 1
Smp-168240,Smp_168240,1.45E-69,0.525605983,0.879,0.753,1.47E-65,Neuron_8,Hypothetical protein
Smp-158720,Smp_158720,1.67E-69,0.550623117,0.868,0.687,1.70E-65,Neuron_8,SCY1-like protein 2
Smp-214000,Smp_214000,2.13E-69,0.804072811,0.931,0.804,2.16E-65,Neuron_8,serine/threonine-protein phosphatase
Smp-334480,Smp_334480,4.12E-68,0.534833235,0.857,0.565,4.19E-64,Neuron_8,SAM and SH3 domain-containing protein 1
Smp-083480,Smp_083480,7.27E-68,0.86581569,0.866,0.598,7.38E-64,Neuron_8,Obscurin
Smp-123050,Smp_123050,8.97E-68,0.618444949,0.894,0.799,9.11E-64,Neuron_8,Regulator of G-protein signaling 20
Smp-058470,Smp_058470,9.79E-68,0.521850218,0.857,0.664,9.94E-64,Neuron_8,Innexin unc-9
Smp-127740,Smp_127740,1.00E-67,0.694962227,0.927,0.831,1.02E-63,Neuron_8,"Probable fructose-2,6-bisphosphatase C732.02c"
Smp-161120,Smp_161120,1.78E-67,0.586215571,0.916,0.879,1.80E-63,Neuron_8,Metastasis suppressor protein 1
Smp-010820,Smp_010820,2.16E-67,0.687917036,0.974,0.807,2.20E-63,Neuron_8,peptidyl-alpha-hydroxyglycine alpha-amidating lyase
Smp-148870,Smp_148870,2.30E-67,0.708161068,0.927,0.835,2.34E-63,Neuron_8,Coiled-coil domain-containing protein AGAP005037
Smp-159990,Smp_159990,3.14E-67,0.800362115,0.924,0.827,3.19E-63,Neuron_8,Voltage-dependent calcium channel type D subunit alpha-1
Smp-266840,Smp_266840,7.00E-67,0.655174689,0.935,0.704,7.11E-63,Neuron_8,Protein bottleneck
Smp-143260,Smp_143260,4.35E-66,0.620431019,0.946,0.834,4.42E-62,Neuron_8,Hypothetical protein
Smp-334150,Smp_334150,2.62E-65,0.571332683,0.821,0.691,2.66E-61,Neuron_8,Fibroblast growth factor receptor 2
Smp-015630,Smp_015630,2.87E-65,0.740056294,0.924,0.745,2.92E-61,Neuron_8,Glutamate-gated chloride channel subunit 2 isoform 1
Smp-163840,Smp_163840,6.82E-65,0.829876607,0.957,0.802,6.93E-61,Neuron_8,Tumor protein p63-regulated gene 1-like protein
Smp-126310,Smp_126310,7.69E-65,0.701167775,0.847,0.592,7.81E-61,Neuron_8,Beta-1-syntrophin
Smp-310510,Smp_310510,1.15E-64,0.855670616,0.907,0.735,1.17E-60,Neuron_8,Hypothetical protein
Smp-175020,Smp_175020,1.92E-64,0.625762912,0.81,0.597,1.95E-60,Neuron_8,Hypothetical protein
Smp-084010,Smp_084010,2.21E-64,0.781752366,0.894,0.647,2.25E-60,Neuron_8,ATP synthase subunit alpha
Smp-122900,Smp_122900,4.96E-64,0.816020233,0.918,0.761,5.04E-60,Neuron_8,Beta-arrestin-1
Smp-335980,Smp_335980,5.68E-64,0.921572845,0.793,0.657,5.77E-60,Neuron_8,Regulator of G-protein signaling 5
Smp-344260,Smp_344260,1.15E-63,0.554752973,0.838,0.647,1.17E-59,Neuron_8,#N/A
Smp-012440,Smp_012440,4.29E-62,0.578453956,0.972,0.926,4.36E-58,Neuron_8,"Solute carrier family 2, facilitated glucose transporter member 1"
Smp-138600,Smp_138600,1.58E-61,0.532639244,0.898,0.696,1.60E-57,Neuron_8,Uncharacterized protein KIAA0513
Smp-346110,Smp_346110,1.60E-61,0.562621467,0.823,0.742,1.62E-57,Neuron_8,Protein zntA
Smp-000160,Smp_000160,3.44E-61,0.699707253,0.914,0.749,3.50E-57,Neuron_8,Amphoterin-induced protein 3
Smp-159740,Smp_159740,8.65E-61,0.620976665,0.888,0.723,8.79E-57,Neuron_8,Acetyl-coenzyme A transporter 1
